   1.86405,  29.88000,  40.56000
   1.40676,  48.31600,  46.70000
   1.15603,  58.31000,  52.62000
   0.93998,  66.55000,  53.32000
   0.81230,  71.55000,  71.21000
   0.71554,  75.02000,  66.66000
   0.63813,  77.91600,  77.33000
   0.58952,  79.45200,  72.85000
   0.54541,  80.99400,  77.25999
   0.51855,  82.12600,  81.45000
   0.48783,  83.13600,  77.55000
   0.45777,  84.07800,  78.72000
   0.43895,  84.77000,  75.88000
   0.41732,  85.51200,  80.06000
   0.40603,  85.86600,  81.88000
   0.38869,  86.60799,  70.77000
   0.37663,  86.87199,  75.50999
   0.36914,  87.20200,  81.05000
   0.34927,  88.03200,  84.89000
   0.33953,  88.16800,  79.63000
   0.33499,  88.40600,  82.17000
   0.32006,  89.02000,  84.53000
   0.31425,  89.13400,  84.63000
   0.29730,  89.64799,  79.93999
   0.29442,  89.77200,  76.46000
   0.28611,  90.06599,  80.07000
   0.28583,  89.98400,  83.87000
   0.27106,  90.49000,  78.33000
   0.27083,  90.64799,  82.98000
   0.26300,  90.81000,  81.29000
   0.25283,  91.17800,  67.85000
   0.25212,  91.25600,  79.89000
   0.25035,  91.28600,  84.68000
   0.24589,  91.37400,  84.28000
   0.23742,  91.55800,  85.99000
   0.23069,  91.88400,  83.61000
   0.22818,  91.94200,  80.56000
   0.22334,  92.11000,  84.46000
   0.22049,  92.17599,  80.18000
   0.21565,  92.45399,  81.24000
   0.21163,  92.49000,  82.27000
   0.20953,  92.57200,  82.32000
   0.21004,  92.49200,  76.57000
   0.20009,  92.91000,  79.99000
   0.20643,  92.76800,  83.53000
   0.19957,  92.93000,  81.85000
   0.20062,  93.00999,  80.12000
   0.18773,  93.28400,  82.93000
   0.18881,  93.37199,  83.17000
   0.18514,  93.45000,  82.91000
   0.18612,  93.45399,  86.29000
   0.18464,  93.51400,  83.31000
   0.18213,  93.63000,  78.37000
   0.17533,  93.87199,  84.18999
   0.17739,  93.79200,  82.80000
   0.17315,  93.93200,  84.50999
   0.17754,  93.75600,  82.35000
   0.17268,  94.02800,  83.72000
   0.17253,  93.90600,  81.07000
   0.16909,  94.08600,  72.20000
   0.16342,  94.22800,  74.95000
   0.16303,  94.32999,  86.75000
   0.16095,  94.31000,  86.65000
   0.16499,  94.24200,  79.86000
   0.16138,  94.26600,  85.79000
   0.15270,  94.73000,  82.62000
   0.15766,  94.38800,  84.32000
   0.15544,  94.53400,  84.68999
   0.15261,  94.70200,  86.95000
   0.15699,  94.46799,  84.43000
   0.15299,  94.61400,  84.70000
   0.14781,  94.87199,  86.52000
   0.14499,  94.81200,  85.64000
   0.14330,  94.88599,  80.60000
   0.14458,  94.89999,  86.34000
   0.14175,  95.02200,  85.50000
   0.14454,  94.92200,  82.14000
   0.14091,  95.07400,  85.72000
   0.14632,  94.83200,  84.96000
   0.14186,  94.93999,  79.85000
   0.08135,  97.29400,  91.41000
   0.05828,  98.19199,  91.63000
